metric,dataset,status,model_count,kendall,paper_kendall,kendall_matches,pearson,paper_pearson,pearson_matches,path
sfda,dtd,ok,10,0.674199862463242,0.674,True,0.785706539806444,0.786,True,results/published/EXP1/results_metrics/group2/sfda/dtd_metrics.json
sfda,sun397,ok,10,0.7333333333333333,0.733,True,0.860492304612228,0.86,True,results/published/EXP1/results_metrics/group2/sfda/sun397_metrics.json
gleep,cifar10,ok,10,0.6444444444444445,0.644,True,0.5741901798264838,0.574,True,results/published/EXP1/results_metrics/group1/leep_g/cifar10_metrics.json
gleep,voc2007,ok,10,0.6888888888888889,0.689,True,0.7687908407832776,0.769,True,results/published/EXP1/results_metrics/group1/leep_g/voc2007_metrics.json
gleep,caltech101,ok,10,0.7333333333333333,0.733,True,0.8411808200086931,0.841,True,results/published/EXP1/results_metrics/group1/leep_g/caltech101_metrics.json
gleep,aircraft,ok,10,0.28888888888888886,0.289,True,0.243136244533768,0.243,True,results/published/EXP1/results_metrics/group1/leep_g/aircraft_metrics.json
gleep,cifar100,ok,10,0.8090398349558905,0.809,True,0.7194875363960783,0.719,True,results/published/EXP1/results_metrics/group1/leep_g/cifar100_metrics.json
gleep,food,ok,10,0.6444444444444445,0.644,True,0.6550169391666697,0.655,True,results/published/EXP1/results_metrics/group1/leep_g/food_metrics.json
gleep,pets,ok,10,0.7333333333333333,0.733,True,0.9210327029245651,0.921,True,results/published/EXP1/results_metrics/group1/leep_g/pets_metrics.json
gleep,flowers,ok,10,0.06666666666666667,0.067,True,0.22972697391884572,0.23,True,results/published/EXP1/results_metrics/group1/leep_g/flowers_metrics.json
gleep,cars,ok,10,0.5111111111111111,0.511,True,0.34630970562305496,0.346,True,results/published/EXP1/results_metrics/group1/leep_g/cars_metrics.json
gleep,dtd,ok,10,0.5393598899705937,0.539,True,0.6641894167093267,0.664,True,results/published/EXP1/results_metrics/group1/leep_g/dtd_metrics.json
gleep,sun397,ok,10,0.7333333333333333,0.733,True,0.8064238527135383,0.806,True,results/published/EXP1/results_metrics/group1/leep_g/sun397_metrics.json
